"added_at","arist_id","artist_name","album_name","track_duration_ms","track_explicit_flag","track_id","track_name","track_popularity","album_image","track_preview","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","temp","time_signature"
"2016-08-08T19:48:16Z","2RTUTCvo6onsAnheUk3aL9","3 Doors Down","Here Without You",236920,FALSE,"7qQfI2F80t2MZcLLVuH6M2","Here Without You",54,"https://i.scdn.co/image/74405adf7ef7060a7373342b80876ae9f75c34a4","https://p.scdn.co/mp3-preview/d10323b3d424ceb9fc9f12c377d7d9a9ab3bded8",0.544,0.55,-6.756,0,0.0248,0.0541,0,0.243,0.232,144.028,4
"2016-08-09T12:06:23Z","3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","Deluxe Companion",253200,FALSE,"7lP3A8hK1viPC6CaFybUNj","White Blank Page",8,"https://i.scdn.co/image/14e809cebfd41cb7ba77974feb3e6a42c07cc5f7",NA,0.353,0.504,-11.226,0,0.0424,0.11,0,0.701,0.507,132.961,4
"2016-08-10T12:23:02Z","4EzkuveR9pLvDVFNx6foYD","James Bay","Chaos And The Calm",260533,FALSE,"13HVjjWUZFaWilh2QUJKsP","Let It Go",80,"https://i.scdn.co/image/80cce6b1bb492fd45ddb26a81c79959527d98a63","https://p.scdn.co/mp3-preview/67671d34ac3cf016fb3216ced515ca3b5be99703",0.568,0.293,-10.253,1,0.0313,0.804,1.26e-05,0.107,0.252,147.175,4
"2016-08-10T21:32:46Z","2MqhkhX4npxDZ62ObR5ELO","Hoobastank","The Reason",232800,FALSE,"7afSN5zhUhkbpRFpYKYztK","The Reason",68,"https://i.scdn.co/image/d6b0758fff1722697aedf4fac19448df8dbd40e5","https://p.scdn.co/mp3-preview/b88392e350a215b5f6f4cf309b6ceabe925ec1a8",0.472,0.671,-4.649,1,0.029,0.0129,0,0.159,0.0736,82.952,4
"2016-08-11T12:11:54Z","1uNFoZAHBGtllmzznpCI3s","Justin Bieber","Love Yourself",233746,FALSE,"4qug3gWrzeTNm0GhOkugJV","Love Yourself",19,"https://i.scdn.co/image/8b47495ce0c4a341f7196f70bcf4361e6257c1a0",NA,0.795,0.378,-9.979,1,0.316,0.859,0,0.204,0.559,100.227,4
"2016-08-11T23:12:42Z","1w5Kfo2jwwIPruYS2UWh56","Pearl Jam","Backspacer",215853,FALSE,"3k9qjgu8zVKTEuJVJIYyc0","Just Breathe",58,"https://i.scdn.co/image/4fa3835662af97b88a5e02f2500b0626e00dfdf4","https://p.scdn.co/mp3-preview/0fde8641791b8ac0bf7457de4238723512c804aa",0.453,0.349,-11.077,1,0.0289,0.714,7.94e-05,0.0835,0.288,107.791,4
"2016-08-12T12:46:08Z","6jJ0s89eD6GaHleKKya26X","Katy Perry","PRISM (Deluxe)",228878,FALSE,"2RPNCUaDL2ixoY9wGpoJoQ","Unconditionally",66,"https://i.scdn.co/image/e68e1a8046af77e2c9f23ef348d3c88c3a9f5f01","https://p.scdn.co/mp3-preview/cec7bb104a6ffe925b24ca1cd75438e3729aa44c",0.555,0.729,-4.813,1,0.0387,0.00357,0,0.209,0.367,129.003,4
"2016-08-12T12:53:54Z","5xKp3UyavIBUsGy3DQdXeF","A Great Big World","Is There Anybody Out There?",229400,FALSE,"6Vc5wAMmXdKIAM7WUoEb7N","Say Something",79,"https://i.scdn.co/image/8863198086f9707f49deeb0c5f8a269344dc7dda","https://p.scdn.co/mp3-preview/fe73e55ae08bf3395db3e1ba4485533f59faf3ea",0.407,0.147,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0796,141.284,3
"2016-08-12T13:02:03Z","4AK6F7OLvEQ5QYCBNiQWHq","One Direction","Midnight Memories (Deluxe)",245493,FALSE,"4nVBt6MZDDP6tRVdQTgxJg","Story of My Life",76,"https://i.scdn.co/image/fa3dd6a5fab74f40b020da009825209c807213d3","https://p.scdn.co/mp3-preview/e8cbef539a2a32def5e66968cc00769a4f523c1c",0.6,0.663,-5.802,1,0.0477,0.225,0,0.119,0.291,121.07,4
"2016-08-12T13:19:14Z","2jw70GZXlAI8QzWeY2bgRc","Nelly Furtado","Whoa, Nelly! (Special Edition)",243160,FALSE,"2tP7ZekzXfduShx8C6cbll","I'm Like A Bird",57,"https://i.scdn.co/image/58b858e8b5ae463ba299d59b2aad188887463768","https://p.scdn.co/mp3-preview/b3cbf27e8eb8a6f27034feaaf45d7c5f6d79f0b3",0.616,0.633,-5.076,1,0.0383,0.147,1.48e-06,0.288,0.585,89.644,4
"2016-08-12T13:20:14Z","0L6Gwm0JDrgIQJfjarWSUR","Edwin McCain","Misguided Roses",266533,FALSE,"5K7AMlpc4796JRWXb26nCV","I'll Be",65,"https://i.scdn.co/image/02799b8c4b7630f584fe0d714435951eb68b173e","https://p.scdn.co/mp3-preview/3bf5963076f900a99a498a09d205643824c70c58",0.371,0.609,-5.524,1,0.0295,0.386,0,0.104,0.425,136.526,3
"2016-08-12T13:26:38Z","7H55rcKCfwqkyDFH9wpKM6","Christina Perri","human",250706,FALSE,"1zVhMuH7agsRe6XkljIY4U","human",69,"https://i.scdn.co/image/d9edb2b92e61d68587167570befd9b8f68b4e0eb","https://p.scdn.co/mp3-preview/424c533fa789fc3787d658abb491ed1cee3fb9ef",0.439,0.489,-6.286,1,0.0368,0.132,0.000643,0.114,0.247,143.808,4
"2016-08-12T13:34:00Z","3FUY2gzHeIiaesXtOAdB7A","Train","Drops Of Jupiter",259933,FALSE,"2hKdd3qO7cWr2Jo0Bcs0MA","Drops of Jupiter",75,"https://i.scdn.co/image/1ec11d65250e4b38ea7f5d90870d2c9bd6d13074","https://p.scdn.co/mp3-preview/dd63090aa1fc20e712ec34f0240d25557101ba79",0.468,0.64,-5.862,1,0.0275,0.154,0,0.154,0.506,79.297,4
"2016-08-12T21:15:44Z","25u4wHJWxCA9vO0CzxAbK7","Lukas Graham","7 Years",237300,FALSE,"7MY77zbtJr7KOSrOza4S3L","7 Years",31,"https://i.scdn.co/image/54679dcbfd048af901a18efbf6b39c54e3353887",NA,0.726,0.498,-5.788,1,0.0621,0.322,0,0.386,0.338,119.825,4
"2016-08-13T03:44:39Z","2vm8GdHyrJh2O2MfbQFYG0","Ingrid Michaelson","Without You",185621,FALSE,"11rfyZIz1ah4q9WxWvSKmn","Without You",48,"https://i.scdn.co/image/d3b4652bf7fc22c0b0cefa650c6300c5b8b231b6","https://p.scdn.co/mp3-preview/0f38aa10f1ec779258d9dfde92705f1412939e86",0.522,0.572,-7.834,1,0.0419,0.186,0.0106,0.112,0.362,172.06,3
